dstport,protocol,tag

2788,ipip,sv_p14
4490,fragment,sv_p8
4323,ah,sv_p4
4520,raw,sv_p3
3076,none,sv_p1
1064,pim,sv_p5
2548,ipcomp,sv_p7
4381,sctp,sv_p2
4740,pim,sv_p10
4686,tp,sv_p4
4037,tcp,sv_p1
2460,xtp,sv_p13
4362,ipip,sv_p3
192,udp,sv_p13
3060,igmp,sv_p11
3345,ipv6,sv_p13
1567,icmpv6,sv_p3
2375,idp,sv_p12
1871,hello,sv_p15
1501,eon,sv_p2
2480,hopopts,sv_p9
1204,rsvp,sv_p11
2713,ip,sv_p11
1664,dstopts,sv_p9
1428,none,sv_p4
2245,egp,sv_p8
206,eon,sv_p13
374,ipcomp,sv_p11
4815,dstopts,sv_p15
3517,max,sv_p12
3265,routing,sv_p14
513,nd,sv_p0
107,hello,sv_p3
3691,tcp,sv_p15
3316,nd,sv_p12
1752,ipv4,sv_p0
4872,raw,sv_p14
4277,ipip,sv_p13
4528,hopopts,sv_p6
3249,hopopts,sv_p6
1777,tp,sv_p0
93,fragment,sv_p4
4145,raw,sv_p6
137,fragment,sv_p15
4469,ipcomp,sv_p7
1396,egp,sv_p2
3282,ipip,sv_p2
3507,rsvp,sv_p4
907,ipv4,sv_p9
150,ggp,sv_p13
4200,igmp,sv_p13
446,ipv6,sv_p12
4280,icmpv6,sv_p13
2741,pim,sv_p5
1371,sctp,sv_p10
2228,tp,sv_p1
4967,pup,sv_p6
1525,raw,sv_p13
126,ggp,sv_p10
4624,tcp,sv_p9
3636,tcp,sv_p15
4057,ggp,sv_p10
2877,hopopts,sv_p2
4806,udp,sv_p4
622,tp,sv_p7
2052,ipip,sv_p6
3354,icmpv6,sv_p13
647,igmp,sv_p5
1412,ipv4,sv_p0
656,xtp,sv_p11
110,routing,sv_p6
3285,rsvp,sv_p4
3890,pup,sv_p5
3013,ip,sv_p8
3452,hello,sv_p13
2101,egp,sv_p14
3222,none,sv_p0
4529,rsvp,sv_p13
3571,hello,sv_p0
4415,esp,sv_p10
3537,tcp,sv_p12
3267,tp,sv_p13
1996,xtp,sv_p9
3120,routing,sv_p3
4074,tcp,sv_p7
1164,sctp,sv_p4
3323,max,sv_p2
2797,tp,sv_p3
974,tp,sv_p12
2152,icmp,sv_p6
1507,ip,sv_p1
3878,fragment,sv_p14
3698,hopopts,sv_p4
3001,ipv6,sv_p7
3652,hopopts,sv_p10
1527,icmpv6,sv_p0
4793,esp,sv_p7
4401,icmpv6,sv_p12
4017,fragment,sv_p15
4216,fragment,sv_p9
1878,gre,sv_p15
3874,igmp,sv_p10
3383,ggp,sv_p14
579,pup,sv_p7
1790,ipv6,sv_p8
4672,ip,sv_p5
4966,ip,sv_p13
3836,idp,sv_p9
1215,raw,sv_p13
4746,icmpv6,sv_p5
1919,ggp,sv_p6
1065,ggp,sv_p8
2024,esp,sv_p4
4117,icmp,sv_p13
1419,egp,sv_p14
2927,nd,sv_p8
1726,ipcomp,sv_p2
732,tcp,sv_p7
4931,ipv6,sv_p0
3124,hello,sv_p13
190,gre,sv_p13
2364,gre,sv_p13
2142,tcp,sv_p5
1604,raw,sv_p10
4444,ipip,sv_p10
1902,hello,sv_p3
781,tcp,sv_p3
2243,max,sv_p12
2010,max,sv_p1
1548,hello,sv_p1
503,ip,sv_p11
1126,icmp,sv_p4
4648,pim,sv_p15
3787,igmp,sv_p7
2912,routing,sv_p9
2381,egp,sv_p11
3285,icmp,sv_p12
4435,raw,sv_p5
3052,dstopts,sv_p9
2147,pim,sv_p4
1516,ipip,sv_p9
277,ipv4,sv_p9
1534,pim,sv_p11
2356,fragment,sv_p6
3580,icmp,sv_p5
4701,igmp,sv_p5
4585,udp,sv_p14
597,hello,sv_p14
4646,fragment,sv_p13
2421,ipcomp,sv_p15
2025,rsvp,sv_p8
1981,hopopts,sv_p14
2344,egp,sv_p5
3104,gre,sv_p13
2359,ggp,sv_p7
1790,ipip,sv_p3
4692,ipv4,sv_p3
1522,xtp,sv_p7
1757,igmp,sv_p8
3394,igmp,sv_p12
2632,icmp,sv_p1
1670,hello,sv_p8
4326,rsvp,sv_p4
4340,nd,sv_p6
793,igmp,sv_p15
1730,ipip,sv_p13
1175,ip,sv_p1
2611,icmpv6,sv_p7
3832,esp,sv_p4
4309,tp,sv_p5
448,ipv6,sv_p15
4731,tcp,sv_p10
2598,ipv6,sv_p13
1596,tcp,sv_p8
23,hopopts,sv_p7
1453,ipv4,sv_p12
3759,ip,sv_p5
2245,ipv4,sv_p7
1435,icmp,sv_p3
3735,ggp,sv_p5
1624,sctp,sv_p10
1794,hopopts,sv_p3
3839,ipip,sv_p12
745,ip,sv_p13
1431,max,sv_p2
3827,ipv6,sv_p4
3367,xtp,sv_p10
3422,hopopts,sv_p5
1179,ipip,sv_p15
1253,pup,sv_p13
2606,ah,sv_p15
849,tcp,sv_p0
3417,gre,sv_p12
4617,ggp,sv_p2
4967,tp,sv_p12
3018,esp,sv_p11
4159,nd,sv_p12
